institution_cat,industry_cat,grad_cohort,region_cat,horizon,emp_instate_,emp_n_,state
ASU,Agriculture,2004,New England,1,0,0,AZ
ASU,Agriculture,2004,New England,5,0,0,AZ
ASU,Agriculture,2004,New England,10,0,0,AZ
ASU,Agriculture,2004,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2004,Middle Atlantic,5,0,0,AZ
ASU,Agriculture,2004,Middle Atlantic,10,0,0,AZ
ASU,Agriculture,2004,East North Central,1,0,0,AZ
ASU,Agriculture,2004,East North Central,5,0,0,AZ
ASU,Agriculture,2004,East North Central,10,0,0,AZ
ASU,Agriculture,2004,West North Central,1,0,0,AZ
ASU,Agriculture,2004,West North Central,5,0,0,AZ
ASU,Agriculture,2004,West North Central,10,0,0,AZ
ASU,Agriculture,2004,South Atlantic,1,0,0,AZ
ASU,Agriculture,2004,South Atlantic,5,0,0,AZ
ASU,Agriculture,2004,South Atlantic,10,0,6,AZ
ASU,Agriculture,2004,East South Central,1,0,0,AZ
ASU,Agriculture,2004,East South Central,5,0,0,AZ
ASU,Agriculture,2004,East South Central,10,0,0,AZ
ASU,Agriculture,2004,West South Central,1,0,0,AZ
ASU,Agriculture,2004,West South Central,5,0,0,AZ
ASU,Agriculture,2004,West South Central,10,0,2,AZ
ASU,Agriculture,2004,Mountain,1,37,37,AZ
ASU,Agriculture,2004,Mountain,5,17,17,AZ
ASU,Agriculture,2004,Mountain,10,17,17,AZ
ASU,Agriculture,2004,Pacific,1,0,7,AZ
ASU,Agriculture,2004,Pacific,5,0,15,AZ
ASU,Agriculture,2004,Pacific,10,0,21,AZ
ASU,Agriculture,2007,New England,1,0,0,AZ
ASU,Agriculture,2007,New England,5,0,0,AZ
ASU,Agriculture,2007,New England,10,0,0,AZ
ASU,Agriculture,2007,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2007,Middle Atlantic,5,0,0,AZ
ASU,Agriculture,2007,Middle Atlantic,10,0,0,AZ
ASU,Agriculture,2007,East North Central,1,0,0,AZ
ASU,Agriculture,2007,East North Central,5,0,0,AZ
ASU,Agriculture,2007,East North Central,10,0,0,AZ
ASU,Agriculture,2007,West North Central,1,0,0,AZ
ASU,Agriculture,2007,West North Central,5,0,0,AZ
ASU,Agriculture,2007,West North Central,10,0,0,AZ
ASU,Agriculture,2007,South Atlantic,1,0,0,AZ
ASU,Agriculture,2007,South Atlantic,5,0,0,AZ
ASU,Agriculture,2007,South Atlantic,10,0,0,AZ
ASU,Agriculture,2007,East South Central,1,0,0,AZ
ASU,Agriculture,2007,East South Central,5,0,0,AZ
ASU,Agriculture,2007,East South Central,10,0,0,AZ
ASU,Agriculture,2007,West South Central,1,0,0,AZ
ASU,Agriculture,2007,West South Central,5,0,0,AZ
ASU,Agriculture,2007,West South Central,10,0,0,AZ
ASU,Agriculture,2007,Mountain,1,7,7,AZ
ASU,Agriculture,2007,Mountain,5,8,8,AZ
ASU,Agriculture,2007,Mountain,10,11,11,AZ
ASU,Agriculture,2007,Pacific,1,0,8,AZ
ASU,Agriculture,2007,Pacific,5,0,10,AZ
ASU,Agriculture,2007,Pacific,10,0,11,AZ
ASU,Agriculture,2010,New England,1,0,0,AZ
ASU,Agriculture,2010,New England,5,0,0,AZ
ASU,Agriculture,2010,New England,10,0,0,AZ
ASU,Agriculture,2010,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2010,Middle Atlantic,5,0,0,AZ
ASU,Agriculture,2010,Middle Atlantic,10,0,0,AZ
ASU,Agriculture,2010,East North Central,1,0,0,AZ
ASU,Agriculture,2010,East North Central,5,0,0,AZ
ASU,Agriculture,2010,East North Central,10,0,0,AZ
ASU,Agriculture,2010,West North Central,1,0,0,AZ
ASU,Agriculture,2010,West North Central,5,0,0,AZ
ASU,Agriculture,2010,West North Central,10,0,0,AZ
ASU,Agriculture,2010,South Atlantic,1,0,0,AZ
ASU,Agriculture,2010,South Atlantic,5,0,0,AZ
ASU,Agriculture,2010,South Atlantic,10,0,3,AZ
ASU,Agriculture,2010,East South Central,1,0,0,AZ
ASU,Agriculture,2010,East South Central,5,0,0,AZ
ASU,Agriculture,2010,East South Central,10,0,0,AZ
ASU,Agriculture,2010,West South Central,1,0,0,AZ
ASU,Agriculture,2010,West South Central,5,0,0,AZ
ASU,Agriculture,2010,West South Central,10,0,1,AZ
ASU,Agriculture,2010,Mountain,1,13,13,AZ
ASU,Agriculture,2010,Mountain,5,18,18,AZ
ASU,Agriculture,2010,Mountain,10,18,18,AZ
ASU,Agriculture,2010,Pacific,1,0,34,AZ
ASU,Agriculture,2010,Pacific,5,0,26,AZ
ASU,Agriculture,2010,Pacific,10,0,28,AZ
ASU,Agriculture,2013,New England,1,0,0,AZ
ASU,Agriculture,2013,New England,5,0,0,AZ
ASU,Agriculture,2013,New England,10,,,AZ
ASU,Agriculture,2013,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2013,Middle Atlantic,5,0,0,AZ
ASU,Agriculture,2013,Middle Atlantic,10,,,AZ
ASU,Agriculture,2013,East North Central,1,0,0,AZ
ASU,Agriculture,2013,East North Central,5,0,0,AZ
ASU,Agriculture,2013,East North Central,10,,,AZ
ASU,Agriculture,2013,West North Central,1,0,0,AZ
ASU,Agriculture,2013,West North Central,5,0,0,AZ
ASU,Agriculture,2013,West North Central,10,,,AZ
ASU,Agriculture,2013,South Atlantic,1,0,0,AZ
ASU,Agriculture,2013,South Atlantic,5,0,0,AZ
ASU,Agriculture,2013,South Atlantic,10,,,AZ
ASU,Agriculture,2013,East South Central,1,0,0,AZ
ASU,Agriculture,2013,East South Central,5,0,0,AZ
ASU,Agriculture,2013,East South Central,10,,,AZ
ASU,Agriculture,2013,West South Central,1,0,5,AZ
ASU,Agriculture,2013,West South Central,5,0,3,AZ
ASU,Agriculture,2013,West South Central,10,,,AZ
ASU,Agriculture,2013,Mountain,1,13,13,AZ
ASU,Agriculture,2013,Mountain,5,17,17,AZ
ASU,Agriculture,2013,Mountain,10,,,AZ
ASU,Agriculture,2013,Pacific,1,0,34,AZ
ASU,Agriculture,2013,Pacific,5,0,44,AZ
ASU,Agriculture,2013,Pacific,10,,,AZ
ASU,Agriculture,2016,New England,1,0,0,AZ
ASU,Agriculture,2016,New England,5,0,0,AZ
ASU,Agriculture,2016,New England,10,,,AZ
ASU,Agriculture,2016,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2016,Middle Atlantic,5,0,0,AZ
ASU,Agriculture,2016,Middle Atlantic,10,,,AZ
ASU,Agriculture,2016,East North Central,1,0,0,AZ
ASU,Agriculture,2016,East North Central,5,0,0,AZ
ASU,Agriculture,2016,East North Central,10,,,AZ
ASU,Agriculture,2016,West North Central,1,0,0,AZ
ASU,Agriculture,2016,West North Central,5,0,0,AZ
ASU,Agriculture,2016,West North Central,10,,,AZ
ASU,Agriculture,2016,South Atlantic,1,0,0,AZ
ASU,Agriculture,2016,South Atlantic,5,0,2,AZ
ASU,Agriculture,2016,South Atlantic,10,,,AZ
ASU,Agriculture,2016,East South Central,1,0,0,AZ
ASU,Agriculture,2016,East South Central,5,0,0,AZ
ASU,Agriculture,2016,East South Central,10,,,AZ
ASU,Agriculture,2016,West South Central,1,0,1,AZ
ASU,Agriculture,2016,West South Central,5,0,3,AZ
ASU,Agriculture,2016,West South Central,10,,,AZ
ASU,Agriculture,2016,Mountain,1,19,19,AZ
ASU,Agriculture,2016,Mountain,5,25,25,AZ
ASU,Agriculture,2016,Mountain,10,,,AZ
ASU,Agriculture,2016,Pacific,1,0,47,AZ
ASU,Agriculture,2016,Pacific,5,0,43,AZ
ASU,Agriculture,2016,Pacific,10,,,AZ
ASU,Agriculture,2019,New England,1,0,0,AZ
ASU,Agriculture,2019,New England,5,,,AZ
ASU,Agriculture,2019,New England,10,,,AZ
ASU,Agriculture,2019,Middle Atlantic,1,0,0,AZ
ASU,Agriculture,2019,Middle Atlantic,5,,,AZ
ASU,Agriculture,2019,Middle Atlantic,10,,,AZ
ASU,Agriculture,2019,East North Central,1,0,0,AZ
ASU,Agriculture,2019,East North Central,5,,,AZ
ASU,Agriculture,2019,East North Central,10,,,AZ
ASU,Agriculture,2019,West North Central,1,0,0,AZ
ASU,Agriculture,2019,West North Central,5,,,AZ
ASU,Agriculture,2019,West North Central,10,,,AZ
ASU,Agriculture,2019,South Atlantic,1,0,4,AZ
ASU,Agriculture,2019,South Atlantic,5,,,AZ
ASU,Agriculture,2019,South Atlantic,10,,,AZ
ASU,Agriculture,2019,East South Central,1,0,0,AZ
ASU,Agriculture,2019,East South Central,5,,,AZ
ASU,Agriculture,2019,East South Central,10,,,AZ
ASU,Agriculture,2019,West South Central,1,0,3,AZ
ASU,Agriculture,2019,West South Central,5,,,AZ
ASU,Agriculture,2019,West South Central,10,,,AZ
ASU,Agriculture,2019,Mountain,1,21,22,AZ
ASU,Agriculture,2019,Mountain,5,,,AZ
ASU,Agriculture,2019,Mountain,10,,,AZ
ASU,Agriculture,2019,Pacific,1,0,77,AZ
ASU,Agriculture,2019,Pacific,5,,,AZ
ASU,Agriculture,2019,Pacific,10,,,AZ
ASU,Mining,2004,New England,1,0,0,AZ
ASU,Mining,2004,New England,5,0,0,AZ
ASU,Mining,2004,New England,10,0,0,AZ
ASU,Mining,2004,Middle Atlantic,1,0,0,AZ
ASU,Mining,2004,Middle Atlantic,5,0,0,AZ
ASU,Mining,2004,Middle Atlantic,10,0,0,AZ
ASU,Mining,2004,East North Central,1,0,0,AZ
ASU,Mining,2004,East North Central,5,0,0,AZ
ASU,Mining,2004,East North Central,10,0,0,AZ
ASU,Mining,2004,West North Central,1,0,0,AZ
ASU,Mining,2004,West North Central,5,0,0,AZ
ASU,Mining,2004,West North Central,10,0,0,AZ
ASU,Mining,2004,South Atlantic,1,0,0,AZ
ASU,Mining,2004,South Atlantic,5,0,0,AZ
ASU,Mining,2004,South Atlantic,10,0,0,AZ
ASU,Mining,2004,East South Central,1,0,0,AZ
ASU,Mining,2004,East South Central,5,0,0,AZ
ASU,Mining,2004,East South Central,10,0,0,AZ
ASU,Mining,2004,West South Central,1,0,5,AZ
ASU,Mining,2004,West South Central,5,0,13,AZ
ASU,Mining,2004,West South Central,10,0,10,AZ
ASU,Mining,2004,Mountain,1,13,13,AZ
ASU,Mining,2004,Mountain,5,20,21,AZ
ASU,Mining,2004,Mountain,10,22,25,AZ
ASU,Mining,2004,Pacific,1,0,2,AZ
ASU,Mining,2004,Pacific,5,0,1,AZ
ASU,Mining,2004,Pacific,10,0,0,AZ
ASU,Mining,2007,New England,1,0,0,AZ
ASU,Mining,2007,New England,5,0,0,AZ
ASU,Mining,2007,New England,10,0,0,AZ
ASU,Mining,2007,Middle Atlantic,1,0,0,AZ
ASU,Mining,2007,Middle Atlantic,5,0,0,AZ
ASU,Mining,2007,Middle Atlantic,10,0,0,AZ
ASU,Mining,2007,East North Central,1,0,0,AZ
ASU,Mining,2007,East North Central,5,0,0,AZ
ASU,Mining,2007,East North Central,10,0,0,AZ
ASU,Mining,2007,West North Central,1,0,0,AZ
ASU,Mining,2007,West North Central,5,0,0,AZ
ASU,Mining,2007,West North Central,10,0,0,AZ
ASU,Mining,2007,South Atlantic,1,0,0,AZ
ASU,Mining,2007,South Atlantic,5,0,0,AZ
ASU,Mining,2007,South Atlantic,10,0,0,AZ
ASU,Mining,2007,East South Central,1,0,0,AZ
ASU,Mining,2007,East South Central,5,0,0,AZ
ASU,Mining,2007,East South Central,10,0,0,AZ
ASU,Mining,2007,West South Central,1,0,9,AZ
ASU,Mining,2007,West South Central,5,0,6,AZ
ASU,Mining,2007,West South Central,10,0,6,AZ
ASU,Mining,2007,Mountain,1,10,10,AZ
ASU,Mining,2007,Mountain,5,12,12,AZ
ASU,Mining,2007,Mountain,10,6,6,AZ
ASU,Mining,2007,Pacific,1,0,0,AZ
ASU,Mining,2007,Pacific,5,0,0,AZ
ASU,Mining,2007,Pacific,10,0,0,AZ
ASU,Mining,2010,New England,1,0,0,AZ
ASU,Mining,2010,New England,5,0,0,AZ
ASU,Mining,2010,New England,10,0,0,AZ
ASU,Mining,2010,Middle Atlantic,1,0,0,AZ
ASU,Mining,2010,Middle Atlantic,5,0,0,AZ
ASU,Mining,2010,Middle Atlantic,10,0,0,AZ
ASU,Mining,2010,East North Central,1,0,0,AZ
ASU,Mining,2010,East North Central,5,0,0,AZ
ASU,Mining,2010,East North Central,10,0,0,AZ
ASU,Mining,2010,West North Central,1,0,0,AZ
ASU,Mining,2010,West North Central,5,0,0,AZ
ASU,Mining,2010,West North Central,10,0,0,AZ
ASU,Mining,2010,South Atlantic,1,0,0,AZ
ASU,Mining,2010,South Atlantic,5,0,0,AZ
ASU,Mining,2010,South Atlantic,10,0,0,AZ
ASU,Mining,2010,East South Central,1,0,0,AZ
ASU,Mining,2010,East South Central,5,0,0,AZ
ASU,Mining,2010,East South Central,10,0,0,AZ
ASU,Mining,2010,West South Central,1,0,26,AZ
ASU,Mining,2010,West South Central,5,0,11,AZ
ASU,Mining,2010,West South Central,10,0,22,AZ
ASU,Mining,2010,Mountain,1,30,30,AZ
ASU,Mining,2010,Mountain,5,24,28,AZ
ASU,Mining,2010,Mountain,10,22,22,AZ
ASU,Mining,2010,Pacific,1,0,2,AZ
ASU,Mining,2010,Pacific,5,0,3,AZ
ASU,Mining,2010,Pacific,10,0,5,AZ
ASU,Mining,2013,New England,1,0,0,AZ
ASU,Mining,2013,New England,5,0,0,AZ
ASU,Mining,2013,New England,10,,,AZ
ASU,Mining,2013,Middle Atlantic,1,0,0,AZ
ASU,Mining,2013,Middle Atlantic,5,0,0,AZ
ASU,Mining,2013,Middle Atlantic,10,,,AZ
ASU,Mining,2013,East North Central,1,0,0,AZ
ASU,Mining,2013,East North Central,5,0,0,AZ
ASU,Mining,2013,East North Central,10,,,AZ
ASU,Mining,2013,West North Central,1,0,0,AZ
ASU,Mining,2013,West North Central,5,0,0,AZ
ASU,Mining,2013,West North Central,10,,,AZ
ASU,Mining,2013,South Atlantic,1,0,0,AZ
ASU,Mining,2013,South Atlantic,5,0,0,AZ
ASU,Mining,2013,South Atlantic,10,,,AZ
ASU,Mining,2013,East South Central,1,0,0,AZ
ASU,Mining,2013,East South Central,5,0,0,AZ
ASU,Mining,2013,East South Central,10,,,AZ
ASU,Mining,2013,West South Central,1,0,21,AZ
ASU,Mining,2013,West South Central,5,0,16,AZ
ASU,Mining,2013,West South Central,10,,,AZ
ASU,Mining,2013,Mountain,1,13,14,AZ
ASU,Mining,2013,Mountain,5,22,22,AZ
ASU,Mining,2013,Mountain,10,,,AZ
ASU,Mining,2013,Pacific,1,0,2,AZ
ASU,Mining,2013,Pacific,5,0,1,AZ
ASU,Mining,2013,Pacific,10,,,AZ
ASU,Mining,2016,New England,1,0,0,AZ
ASU,Mining,2016,New England,5,0,0,AZ
ASU,Mining,2016,New England,10,,,AZ
ASU,Mining,2016,Middle Atlantic,1,0,0,AZ
ASU,Mining,2016,Middle Atlantic,5,0,1,AZ
ASU,Mining,2016,Middle Atlantic,10,,,AZ
ASU,Mining,2016,East North Central,1,0,0,AZ
ASU,Mining,2016,East North Central,5,0,0,AZ
ASU,Mining,2016,East North Central,10,,,AZ
ASU,Mining,2016,West North Central,1,0,0,AZ
ASU,Mining,2016,West North Central,5,0,0,AZ
ASU,Mining,2016,West North Central,10,,,AZ
ASU,Mining,2016,South Atlantic,1,0,0,AZ
ASU,Mining,2016,South Atlantic,5,0,0,AZ
ASU,Mining,2016,South Atlantic,10,,,AZ
ASU,Mining,2016,East South Central,1,0,0,AZ
ASU,Mining,2016,East South Central,5,0,0,AZ
ASU,Mining,2016,East South Central,10,,,AZ
ASU,Mining,2016,West South Central,1,0,24,AZ
ASU,Mining,2016,West South Central,5,0,18,AZ
ASU,Mining,2016,West South Central,10,,,AZ
ASU,Mining,2016,Mountain,1,36,37,AZ
ASU,Mining,2016,Mountain,5,34,35,AZ
ASU,Mining,2016,Mountain,10,,,AZ
ASU,Mining,2016,Pacific,1,0,3,AZ
ASU,Mining,2016,Pacific,5,0,1,AZ
ASU,Mining,2016,Pacific,10,,,AZ
ASU,Mining,2019,New England,1,0,0,AZ
ASU,Mining,2019,New England,5,,,AZ
ASU,Mining,2019,New England,10,,,AZ
ASU,Mining,2019,Middle Atlantic,1,0,0,AZ
ASU,Mining,2019,Middle Atlantic,5,,,AZ
ASU,Mining,2019,Middle Atlantic,10,,,AZ
ASU,Mining,2019,East North Central,1,0,0,AZ
ASU,Mining,2019,East North Central,5,,,AZ
ASU,Mining,2019,East North Central,10,,,AZ
ASU,Mining,2019,West North Central,1,0,0,AZ
ASU,Mining,2019,West North Central,5,,,AZ
ASU,Mining,2019,West North Central,10,,,AZ
ASU,Mining,2019,South Atlantic,1,0,0,AZ
ASU,Mining,2019,South Atlantic,5,,,AZ
ASU,Mining,2019,South Atlantic,10,,,AZ
ASU,Mining,2019,East South Central,1,0,0,AZ
ASU,Mining,2019,East South Central,5,,,AZ
ASU,Mining,2019,East South Central,10,,,AZ
ASU,Mining,2019,West South Central,1,0,16,AZ
ASU,Mining,2019,West South Central,5,,,AZ
ASU,Mining,2019,West South Central,10,,,AZ
ASU,Mining,2019,Mountain,1,27,27,AZ
ASU,Mining,2019,Mountain,5,,,AZ
ASU,Mining,2019,Mountain,10,,,AZ
ASU,Mining,2019,Pacific,1,0,4,AZ
ASU,Mining,2019,Pacific,5,,,AZ
ASU,Mining,2019,Pacific,10,,,AZ
ASU,Utilities,2004,New England,1,0,0,AZ
ASU,Utilities,2004,New England,5,0,0,AZ
ASU,Utilities,2004,New England,10,0,0,AZ
ASU,Utilities,2004,Middle Atlantic,1,0,0,AZ
ASU,Utilities,2004,Middle Atlantic,5,0,0,AZ
ASU,Utilities,2004,Middle Atlantic,10,0,1,AZ
ASU,Utilities,2004,East North Central,1,0,1,AZ
ASU,Utilities,2004,East North Central,5,0,0,AZ
ASU,Utilities,2004,East North Central,10,0,3,AZ
ASU,Utilities,2004,West North Central,1,0,0,AZ
ASU,Utilities,2004,West North Central,5,0,0,AZ
ASU,Utilities,2004,West North Central,10,0,0,AZ
ASU,Utilities,2004,South Atlantic,1,0,0,AZ
ASU,Utilities,2004,South Atlantic,5,0,0,AZ
ASU,Utilities,2004,South Atlantic,10,0,1,AZ
ASU,Utilities,2004,East South Central,1,0,0,AZ
ASU,Utilities,2004,East South Central,5,0,0,AZ
ASU,Utilities,2004,East South Central,10,0,0,AZ
ASU,Utilities,2004,West South Central,1,0,1,AZ
ASU,Utilities,2004,West South Central,5,0,6,AZ
ASU,Utilities,2004,West South Central,10,0,4,AZ
ASU,Utilities,2004,Mountain,1,137,137,AZ
ASU,Utilities,2004,Mountain,5,191,192,AZ
ASU,Utilities,2004,Mountain,10,222,222,AZ
ASU,Utilities,2004,Pacific,1,0,8,AZ
ASU,Utilities,2004,Pacific,5,0,9,AZ
ASU,Utilities,2004,Pacific,10,0,13,AZ
ASU,Utilities,2007,New England,1,0,0,AZ
ASU,Utilities,2007,New England,5,0,0,AZ
ASU,Utilities,2007,New England,10,0,0,AZ
ASU,Utilities,2007,Middle Atlantic,1,0,0,AZ
ASU,Utilities,2007,Middle Atlantic,5,0,0,AZ
ASU,Utilities,2007,Middle Atlantic,10,0,0,AZ
ASU,Utilities,2007,East North Central,1,0,0,AZ
ASU,Utilities,2007,East North Central,5,0,0,AZ
ASU,Utilities,2007,East North Central,10,0,0,AZ
ASU,Utilities,2007,West North Central,1,0,0,AZ
ASU,Utilities,2007,West North Central,5,0,0,AZ
ASU,Utilities,2007,West North Central,10,0,0,AZ
ASU,Utilities,2007,South Atlantic,1,0,0,AZ
ASU,Utilities,2007,South Atlantic,5,0,0,AZ
ASU,Utilities,2007,South Atlantic,10,0,0,AZ
ASU,Utilities,2007,East South Central,1,0,0,AZ
ASU,Utilities,2007,East South Central,5,0,0,AZ
ASU,Utilities,2007,East South Central,10,0,0,AZ
ASU,Utilities,2007,West South Central,1,0,1,AZ
ASU,Utilities,2007,West South Central,5,0,4,AZ
ASU,Utilities,2007,West South Central,10,0,2,AZ
ASU,Utilities,2007,Mountain,1,36,36,AZ
ASU,Utilities,2007,Mountain,5,53,53,AZ
ASU,Utilities,2007,Mountain,10,61,61,AZ
ASU,Utilities,2007,Pacific,1,0,5,AZ
ASU,Utilities,2007,Pacific,5,0,5,AZ
ASU,Utilities,2007,Pacific,10,0,6,AZ
ASU,Utilities,2010,New England,1,0,0,AZ
ASU,Utilities,2010,New England,5,0,0,AZ
ASU,Utilities,2010,New England,10,0,0,AZ
ASU,Utilities,2010,Middle Atlantic,1,0,0,AZ
ASU,Utilities,2010,Middle Atlantic,5,0,1,AZ
ASU,Utilities,2010,Middle Atlantic,10,0,2,AZ
ASU,Utilities,2010,East North Central,1,0,0,AZ
ASU,Utilities,2010,East North Central,5,0,0,AZ
ASU,Utilities,2010,East North Central,10,0,0,AZ
ASU,Utilities,2010,West North Central,1,0,0,AZ
ASU,Utilities,2010,West North Central,5,0,0,AZ
ASU,Utilities,2010,West North Central,10,0,0,AZ
ASU,Utilities,2010,South Atlantic,1,0,1,AZ
ASU,Utilities,2010,South Atlantic,5,0,0,AZ
ASU,Utilities,2010,South Atlantic,10,0,0,AZ
ASU,Utilities,2010,East South Central,1,0,0,AZ
ASU,Utilities,2010,East South Central,5,0,0,AZ
ASU,Utilities,2010,East South Central,10,0,0,AZ
ASU,Utilities,2010,West South Central,1,0,0,AZ
ASU,Utilities,2010,West South Central,5,0,6,AZ
ASU,Utilities,2010,West South Central,10,0,7,AZ
ASU,Utilities,2010,Mountain,1,133,133,AZ
ASU,Utilities,2010,Mountain,5,212,213,AZ
ASU,Utilities,2010,Mountain,10,236,238,AZ
ASU,Utilities,2010,Pacific,1,0,11,AZ
ASU,Utilities,2010,Pacific,5,0,20,AZ
