institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
ASU,Agriculture,2004,1,37,44,.84090906,AZ
ASU,Agriculture,2004,5,17,32,.53125,AZ
ASU,Agriculture,2004,10,17,46,.36956522,AZ
ASU,Agriculture,2007,1,7,15,.46666667,AZ
ASU,Agriculture,2007,5,8,18,.44444445,AZ
ASU,Agriculture,2007,10,11,22,.5,AZ
ASU,Agriculture,2010,1,13,47,.27659574,AZ
ASU,Agriculture,2010,5,18,44,.40909091,AZ
ASU,Agriculture,2010,10,18,50,.36000001,AZ
ASU,Agriculture,2013,1,13,52,.25,AZ
ASU,Agriculture,2013,5,17,64,.265625,AZ
ASU,Agriculture,2013,10,,,,AZ
ASU,Agriculture,2016,1,19,67,.28358209,AZ
ASU,Agriculture,2016,5,25,73,.34246576,AZ
ASU,Agriculture,2016,10,,,,AZ
ASU,Agriculture,2019,1,21,106,.1981132,AZ
ASU,Agriculture,2019,5,,,,AZ
ASU,Agriculture,2019,10,,,,AZ
ASU,Mining,2004,1,13,20,.64999998,AZ
ASU,Mining,2004,5,20,35,.5714286,AZ
ASU,Mining,2004,10,22,35,.62857145,AZ
ASU,Mining,2007,1,10,19,.52631581,AZ
ASU,Mining,2007,5,12,18,.66666669,AZ
ASU,Mining,2007,10,6,12,.5,AZ
ASU,Mining,2010,1,30,58,.51724136,AZ
ASU,Mining,2010,5,24,42,.5714286,AZ
ASU,Mining,2010,10,22,49,.44897959,AZ
ASU,Mining,2013,1,13,37,.35135135,AZ
ASU,Mining,2013,5,22,39,.56410259,AZ
ASU,Mining,2013,10,,,,AZ
ASU,Mining,2016,1,36,64,.5625,AZ
ASU,Mining,2016,5,34,55,.61818182,AZ
ASU,Mining,2016,10,,,,AZ
ASU,Mining,2019,1,27,47,.57446808,AZ
ASU,Mining,2019,5,,,,AZ
ASU,Mining,2019,10,,,,AZ
ASU,Utilities,2004,1,137,147,.9319728,AZ
ASU,Utilities,2004,5,191,207,.92270529,AZ
ASU,Utilities,2004,10,222,244,.90983605,AZ
ASU,Utilities,2007,1,36,42,.85714287,AZ
ASU,Utilities,2007,5,53,62,.85483873,AZ
ASU,Utilities,2007,10,61,69,.884058,AZ
ASU,Utilities,2010,1,133,145,.91724139,AZ
ASU,Utilities,2010,5,212,240,.88333333,AZ
ASU,Utilities,2010,10,236,272,.86764705,AZ
ASU,Utilities,2013,1,203,220,.92272729,AZ
ASU,Utilities,2013,5,259,279,.9283154,AZ
ASU,Utilities,2013,10,,,,AZ
ASU,Utilities,2016,1,175,221,.79185522,AZ
ASU,Utilities,2016,5,234,283,.82685512,AZ
ASU,Utilities,2016,10,,,,AZ
ASU,Utilities,2019,1,183,237,.77215189,AZ
ASU,Utilities,2019,5,,,,AZ
ASU,Utilities,2019,10,,,,AZ
ASU,Construction,2004,1,761,913,.83351588,AZ
ASU,Construction,2004,5,428,620,.69032258,AZ
ASU,Construction,2004,10,359,594,.60437709,AZ
ASU,Construction,2007,1,116,162,.71604937,AZ
ASU,Construction,2007,5,107,196,.54591835,AZ
ASU,Construction,2007,10,143,229,.62445414,AZ
ASU,Construction,2010,1,399,592,.67398649,AZ
ASU,Construction,2010,5,427,728,.58653843,AZ
ASU,Construction,2010,10,506,834,.60671461,AZ
ASU,Construction,2013,1,449,706,.63597733,AZ
ASU,Construction,2013,5,526,882,.59637189,AZ
ASU,Construction,2013,10,,,,AZ
ASU,Construction,2016,1,574,923,.62188518,AZ
ASU,Construction,2016,5,677,1098,.6165756,AZ
ASU,Construction,2016,10,,,,AZ
ASU,Construction,2019,1,761,1240,.61370969,AZ
