institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Adams State,Agriculture,2004,1,3,3,1,CO
Adams State,Agriculture,2004,5,0,1,0,CO
Adams State,Agriculture,2004,10,0,2,0,CO
Adams State,Agriculture,2007,1,3,3,1,CO
Adams State,Agriculture,2007,5,2,4,.5,CO
Adams State,Agriculture,2007,10,4,4,1,CO
Adams State,Agriculture,2010,1,0,0,,CO
Adams State,Agriculture,2010,5,2,3,.66666669,CO
Adams State,Agriculture,2010,10,4,5,.80000001,CO
Adams State,Agriculture,2013,1,3,3,1,CO
Adams State,Agriculture,2013,5,2,4,.5,CO
Adams State,Agriculture,2013,10,,,,CO
Adams State,Agriculture,2016,1,6,7,.85714287,CO
Adams State,Agriculture,2016,5,2,2,1,CO
Adams State,Agriculture,2016,10,,,,CO
Adams State,Agriculture,2019,1,0,5,0,CO
Adams State,Agriculture,2019,5,,,,CO
Adams State,Agriculture,2019,10,,,,CO
Adams State,Mining,2004,1,1,2,.5,CO
Adams State,Mining,2004,5,3,5,.60000002,CO
Adams State,Mining,2004,10,1,3,.33333334,CO
Adams State,Mining,2007,1,1,1,1,CO
Adams State,Mining,2007,5,1,1,1,CO
Adams State,Mining,2007,10,2,4,.5,CO
Adams State,Mining,2010,1,0,0,,CO
Adams State,Mining,2010,5,6,6,1,CO
Adams State,Mining,2010,10,4,4,1,CO
Adams State,Mining,2013,1,1,1,1,CO
Adams State,Mining,2013,5,1,5,.2,CO
Adams State,Mining,2013,10,,,,CO
Adams State,Mining,2016,1,1,3,.33333334,CO
Adams State,Mining,2016,5,2,2,1,CO
Adams State,Mining,2016,10,,,,CO
Adams State,Mining,2019,1,1,1,1,CO
Adams State,Mining,2019,5,,,,CO
Adams State,Mining,2019,10,,,,CO
Adams State,Utilities,2004,1,0,0,,CO
Adams State,Utilities,2004,5,1,1,1,CO
Adams State,Utilities,2004,10,0,0,,CO
Adams State,Utilities,2007,1,1,1,1,CO
Adams State,Utilities,2007,5,2,3,.66666669,CO
Adams State,Utilities,2007,10,3,3,1,CO
Adams State,Utilities,2010,1,2,2,1,CO
Adams State,Utilities,2010,5,0,0,,CO
Adams State,Utilities,2010,10,2,3,.66666669,CO
Adams State,Utilities,2013,1,3,3,1,CO
Adams State,Utilities,2013,5,4,4,1,CO
Adams State,Utilities,2013,10,,,,CO
Adams State,Utilities,2016,1,0,2,0,CO
Adams State,Utilities,2016,5,0,3,0,CO
Adams State,Utilities,2016,10,,,,CO
Adams State,Utilities,2019,1,0,2,0,CO
Adams State,Utilities,2019,5,,,,CO
Adams State,Utilities,2019,10,,,,CO
Adams State,Construction,2004,1,9,12,.75,CO
Adams State,Construction,2004,5,5,15,.33333334,CO
Adams State,Construction,2004,10,9,17,.52941179,CO
Adams State,Construction,2007,1,7,13,.53846157,CO
Adams State,Construction,2007,5,9,18,.5,CO
Adams State,Construction,2007,10,4,6,.66666669,CO
Adams State,Construction,2010,1,10,14,.71428573,CO
Adams State,Construction,2010,5,5,8,.625,CO
Adams State,Construction,2010,10,7,10,.69999999,CO
Adams State,Construction,2013,1,4,10,.40000001,CO
Adams State,Construction,2013,5,12,14,.85714287,CO
Adams State,Construction,2013,10,,,,CO
Adams State,Construction,2016,1,8,18,.44444445,CO
Adams State,Construction,2016,5,13,24,.54166669,CO
Adams State,Construction,2016,10,,,,CO
Adams State,Construction,2019,1,6,17,.35294119,CO
Adams State,Construction,2019,5,,,,CO
Adams State,Construction,2019,10,,,,CO
Adams State,Manufacturing,2004,1,4,17,.23529412,CO
Adams State,Manufacturing,2004,5,7,20,.34999999,CO
Adams State,Manufacturing,2004,10,2,20,.1,CO
Adams State,Manufacturing,2007,1,6,13,.46153846,CO
Adams State,Manufacturing,2007,5,7,29,.24137931,CO
Adams State,Manufacturing,2007,10,7,21,.33333334,CO
Adams State,Manufacturing,2010,1,6,9,.66666669,CO
Adams State,Manufacturing,2010,5,2,16,.125,CO
Adams State,Manufacturing,2010,10,5,22,.22727273,CO
Adams State,Manufacturing,2013,1,9,21,.42857143,CO
Adams State,Manufacturing,2013,5,10,23,.43478259,CO
Adams State,Manufacturing,2013,10,,,,CO
Adams State,Manufacturing,2016,1,7,31,.22580644,CO
Adams State,Manufacturing,2016,5,11,33,.33333334,CO
Adams State,Manufacturing,2016,10,,,,CO
Adams State,Manufacturing,2019,1,7,49,.14285715,CO
Adams State,Manufacturing,2019,5,,,,CO
Adams State,Manufacturing,2019,10,,,,CO
Adams State,Wholesale,2004,1,8,10,.80000001,CO
Adams State,Wholesale,2004,5,5,9,.55555558,CO
Adams State,Wholesale,2004,10,5,5,1,CO
Adams State,Wholesale,2007,1,5,6,.83333331,CO
Adams State,Wholesale,2007,5,3,9,.33333334,CO
Adams State,Wholesale,2007,10,7,16,.4375,CO
Adams State,Wholesale,2010,1,10,12,.83333331,CO
Adams State,Wholesale,2010,5,8,13,.61538464,CO
Adams State,Wholesale,2010,10,7,11,.63636363,CO
Adams State,Wholesale,2013,1,9,14,.64285713,CO
Adams State,Wholesale,2013,5,8,16,.5,CO
Adams State,Wholesale,2013,10,,,,CO
Adams State,Wholesale,2016,1,12,16,.75,CO
Adams State,Wholesale,2016,5,13,14,.9285714,CO
Adams State,Wholesale,2016,10,,,,CO
Adams State,Wholesale,2019,1,8,22,.36363637,CO
Adams State,Wholesale,2019,5,,,,CO
