institution_cat,industry_cat,grad_cohort,region_cat,horizon,emp_instate_,emp_n_,state
MSU Billings,Admin/Waste,2004,East North Central,1,0,3,MT
MSU Billings,Admin/Waste,2004,East North Central,5,0,2,MT
MSU Billings,Admin/Waste,2004,East North Central,10,0,3,MT
MSU Billings,Admin/Waste,2004,East South Central,1,0,0,MT
MSU Billings,Admin/Waste,2004,East South Central,5,0,3,MT
MSU Billings,Admin/Waste,2004,East South Central,10,0,0,MT
MSU Billings,Admin/Waste,2004,Middle Atlantic,1,0,1,MT
MSU Billings,Admin/Waste,2004,Middle Atlantic,5,0,3,MT
MSU Billings,Admin/Waste,2004,Middle Atlantic,10,0,1,MT
MSU Billings,Admin/Waste,2004,Mountain,1,11,12,MT
MSU Billings,Admin/Waste,2004,Mountain,5,17,22,MT
MSU Billings,Admin/Waste,2004,Mountain,10,6,10,MT
MSU Billings,Admin/Waste,2004,New England,1,0,1,MT
MSU Billings,Admin/Waste,2004,New England,5,0,0,MT
MSU Billings,Admin/Waste,2004,New England,10,0,0,MT
MSU Billings,Admin/Waste,2004,Pacific,1,0,4,MT
MSU Billings,Admin/Waste,2004,Pacific,5,0,7,MT
MSU Billings,Admin/Waste,2004,Pacific,10,0,6,MT
MSU Billings,Admin/Waste,2004,South Atlantic,1,0,2,MT
MSU Billings,Admin/Waste,2004,South Atlantic,5,0,1,MT
MSU Billings,Admin/Waste,2004,South Atlantic,10,0,1,MT
MSU Billings,Admin/Waste,2004,West North Central,1,0,0,MT
MSU Billings,Admin/Waste,2004,West North Central,5,0,0,MT
MSU Billings,Admin/Waste,2004,West North Central,10,0,0,MT
MSU Billings,Admin/Waste,2004,West South Central,1,0,5,MT
MSU Billings,Admin/Waste,2004,West South Central,5,0,1,MT
MSU Billings,Admin/Waste,2004,West South Central,10,0,2,MT
MSU Billings,Admin/Waste,2007,East North Central,1,0,5,MT
MSU Billings,Admin/Waste,2007,East North Central,5,0,0,MT
MSU Billings,Admin/Waste,2007,East North Central,10,0,0,MT
MSU Billings,Admin/Waste,2007,East South Central,1,0,0,MT
MSU Billings,Admin/Waste,2007,East South Central,5,0,0,MT
MSU Billings,Admin/Waste,2007,East South Central,10,0,0,MT
MSU Billings,Admin/Waste,2007,Middle Atlantic,1,0,1,MT
MSU Billings,Admin/Waste,2007,Middle Atlantic,5,0,1,MT
MSU Billings,Admin/Waste,2007,Middle Atlantic,10,0,1,MT
MSU Billings,Admin/Waste,2007,Mountain,1,31,32,MT
MSU Billings,Admin/Waste,2007,Mountain,5,17,23,MT
MSU Billings,Admin/Waste,2007,Mountain,10,13,20,MT
MSU Billings,Admin/Waste,2007,New England,1,0,0,MT
MSU Billings,Admin/Waste,2007,New England,5,0,0,MT
MSU Billings,Admin/Waste,2007,New England,10,0,0,MT
MSU Billings,Admin/Waste,2007,Pacific,1,0,7,MT
MSU Billings,Admin/Waste,2007,Pacific,5,0,3,MT
MSU Billings,Admin/Waste,2007,Pacific,10,0,2,MT
MSU Billings,Admin/Waste,2007,South Atlantic,1,0,5,MT
MSU Billings,Admin/Waste,2007,South Atlantic,5,0,1,MT
MSU Billings,Admin/Waste,2007,South Atlantic,10,0,5,MT
MSU Billings,Admin/Waste,2007,West North Central,1,0,0,MT
MSU Billings,Admin/Waste,2007,West North Central,5,0,1,MT
MSU Billings,Admin/Waste,2007,West North Central,10,0,1,MT
MSU Billings,Admin/Waste,2007,West South Central,1,0,1,MT
MSU Billings,Admin/Waste,2007,West South Central,5,0,1,MT
MSU Billings,Admin/Waste,2007,West South Central,10,0,0,MT
MSU Billings,Admin/Waste,2010,East North Central,1,0,2,MT
MSU Billings,Admin/Waste,2010,East North Central,5,0,1,MT
MSU Billings,Admin/Waste,2010,East North Central,10,0,2,MT
MSU Billings,Admin/Waste,2010,East South Central,1,0,0,MT
MSU Billings,Admin/Waste,2010,East South Central,5,0,1,MT
MSU Billings,Admin/Waste,2010,East South Central,10,0,0,MT
MSU Billings,Admin/Waste,2010,Middle Atlantic,1,0,2,MT
MSU Billings,Admin/Waste,2010,Middle Atlantic,5,0,2,MT
MSU Billings,Admin/Waste,2010,Middle Atlantic,10,0,0,MT
MSU Billings,Admin/Waste,2010,Mountain,1,29,31,MT
MSU Billings,Admin/Waste,2010,Mountain,5,17,20,MT
MSU Billings,Admin/Waste,2010,Mountain,10,15,22,MT
MSU Billings,Admin/Waste,2010,New England,1,0,0,MT
MSU Billings,Admin/Waste,2010,New England,5,0,0,MT
MSU Billings,Admin/Waste,2010,New England,10,0,0,MT
MSU Billings,Admin/Waste,2010,Pacific,1,0,3,MT
MSU Billings,Admin/Waste,2010,Pacific,5,0,2,MT
MSU Billings,Admin/Waste,2010,Pacific,10,0,5,MT
MSU Billings,Admin/Waste,2010,South Atlantic,1,0,2,MT
MSU Billings,Admin/Waste,2010,South Atlantic,5,0,1,MT
MSU Billings,Admin/Waste,2010,South Atlantic,10,0,2,MT
MSU Billings,Admin/Waste,2010,West North Central,1,0,0,MT
MSU Billings,Admin/Waste,2010,West North Central,5,0,0,MT
MSU Billings,Admin/Waste,2010,West North Central,10,0,3,MT
MSU Billings,Admin/Waste,2010,West South Central,1,0,2,MT
MSU Billings,Admin/Waste,2010,West South Central,5,0,0,MT
MSU Billings,Admin/Waste,2010,West South Central,10,0,1,MT
MSU Billings,Admin/Waste,2013,East North Central,1,0,4,MT
MSU Billings,Admin/Waste,2013,East North Central,5,0,2,MT
MSU Billings,Admin/Waste,2013,East North Central,10,,,MT
MSU Billings,Admin/Waste,2013,East South Central,1,0,0,MT
MSU Billings,Admin/Waste,2013,East South Central,5,0,0,MT
MSU Billings,Admin/Waste,2013,East South Central,10,,,MT
MSU Billings,Admin/Waste,2013,Middle Atlantic,1,0,0,MT
MSU Billings,Admin/Waste,2013,Middle Atlantic,5,0,1,MT
MSU Billings,Admin/Waste,2013,Middle Atlantic,10,,,MT
