institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
MSU Billings,Admin/Waste,2004,1,11,28,.39285713,MT
MSU Billings,Admin/Waste,2004,5,17,39,.43589744,MT
MSU Billings,Admin/Waste,2004,10,6,23,.26086956,MT
MSU Billings,Admin/Waste,2007,1,31,51,.60784316,MT
MSU Billings,Admin/Waste,2007,5,17,30,.56666666,MT
MSU Billings,Admin/Waste,2007,10,13,29,.44827586,MT
MSU Billings,Admin/Waste,2010,1,29,42,.69047618,MT
MSU Billings,Admin/Waste,2010,5,17,27,.62962961,MT
MSU Billings,Admin/Waste,2010,10,15,35,.42857143,MT
MSU Billings,Admin/Waste,2013,1,20,43,.46511629,MT
MSU Billings,Admin/Waste,2013,5,19,31,.61290324,MT
MSU Billings,Admin/Waste,2013,10,,,,MT
MSU Billings,Admin/Waste,2016,1,30,48,.625,MT
MSU Billings,Admin/Waste,2016,5,26,49,.53061223,MT
MSU Billings,Admin/Waste,2016,10,,,,MT
MSU Billings,Admin/Waste,2019,1,22,44,.5,MT
MSU Billings,Admin/Waste,2019,5,,,,MT
MSU Billings,Admin/Waste,2019,10,,,,MT
MSU Billings,Agriculture,2004,1,3,6,.5,MT
MSU Billings,Agriculture,2004,5,3,7,.42857143,MT
MSU Billings,Agriculture,2004,10,1,5,.2,MT
MSU Billings,Agriculture,2007,1,1,1,1,MT
MSU Billings,Agriculture,2007,5,2,6,.33333334,MT
MSU Billings,Agriculture,2007,10,4,7,.5714286,MT
MSU Billings,Agriculture,2010,1,5,6,.83333331,MT
MSU Billings,Agriculture,2010,5,0,0,,MT
MSU Billings,Agriculture,2010,10,1,2,.5,MT
MSU Billings,Agriculture,2013,1,1,2,.5,MT
MSU Billings,Agriculture,2013,5,2,9,.22222222,MT
MSU Billings,Agriculture,2013,10,,,,MT
MSU Billings,Agriculture,2016,1,0,4,0,MT
MSU Billings,Agriculture,2016,5,0,3,0,MT
MSU Billings,Agriculture,2016,10,,,,MT
MSU Billings,Agriculture,2019,1,1,1,1,MT
MSU Billings,Agriculture,2019,5,,,,MT
MSU Billings,Agriculture,2019,10,,,,MT
MSU Billings,Arts/Entertainment,2004,1,5,12,.41666666,MT
MSU Billings,Arts/Entertainment,2004,5,2,6,.33333334,MT
MSU Billings,Arts/Entertainment,2004,10,6,8,.75,MT
MSU Billings,Arts/Entertainment,2007,1,12,13,.92307693,MT
MSU Billings,Arts/Entertainment,2007,5,10,12,.83333331,MT
MSU Billings,Arts/Entertainment,2007,10,11,11,1,MT
MSU Billings,Arts/Entertainment,2010,1,5,12,.41666666,MT
MSU Billings,Arts/Entertainment,2010,5,2,3,.66666669,MT
MSU Billings,Arts/Entertainment,2010,10,6,9,.66666669,MT
MSU Billings,Arts/Entertainment,2013,1,8,14,.5714286,MT
MSU Billings,Arts/Entertainment,2013,5,6,8,.75,MT
MSU Billings,Arts/Entertainment,2013,10,,,,MT
MSU Billings,Arts/Entertainment,2016,1,5,13,.38461539,MT
MSU Billings,Arts/Entertainment,2016,5,7,10,.69999999,MT
MSU Billings,Arts/Entertainment,2016,10,,,,MT
MSU Billings,Arts/Entertainment,2019,1,9,12,.75,MT
MSU Billings,Arts/Entertainment,2019,5,,,,MT
MSU Billings,Arts/Entertainment,2019,10,,,,MT
MSU Billings,Construction,2004,1,5,8,.625,MT
MSU Billings,Construction,2004,5,13,19,.68421054,MT
MSU Billings,Construction,2004,10,12,14,.85714287,MT
MSU Billings,Construction,2007,1,9,13,.69230771,MT
MSU Billings,Construction,2007,5,10,26,.38461539,MT
MSU Billings,Construction,2007,10,18,29,.62068963,MT
MSU Billings,Construction,2010,1,9,16,.5625,MT
MSU Billings,Construction,2010,5,10,10,1,MT
MSU Billings,Construction,2010,10,12,21,.5714286,MT
MSU Billings,Construction,2013,1,19,25,.75999999,MT
MSU Billings,Construction,2013,5,21,36,.58333331,MT
MSU Billings,Construction,2013,10,,,,MT
MSU Billings,Construction,2016,1,12,22,.54545456,MT
MSU Billings,Construction,2016,5,20,37,.54054052,MT
