institution_cat,industry_cat,grad_cohort,region_cat,horizon,emp_instate_,emp_n_,state
Eastern Oregon,Admin/Waste,2004,East North Central,1,0,0,OR
Eastern Oregon,Admin/Waste,2004,East North Central,5,0,1,OR
Eastern Oregon,Admin/Waste,2004,East North Central,10,0,0,OR
Eastern Oregon,Admin/Waste,2004,East South Central,1,0,0,OR
Eastern Oregon,Admin/Waste,2004,East South Central,5,0,0,OR
Eastern Oregon,Admin/Waste,2004,East South Central,10,0,0,OR
Eastern Oregon,Admin/Waste,2004,Middle Atlantic,1,0,6,OR
Eastern Oregon,Admin/Waste,2004,Middle Atlantic,5,0,0,OR
Eastern Oregon,Admin/Waste,2004,Middle Atlantic,10,0,0,OR
Eastern Oregon,Admin/Waste,2004,Mountain,1,0,4,OR
Eastern Oregon,Admin/Waste,2004,Mountain,5,0,11,OR
Eastern Oregon,Admin/Waste,2004,Mountain,10,0,1,OR
Eastern Oregon,Admin/Waste,2004,New England,1,0,0,OR
Eastern Oregon,Admin/Waste,2004,New England,5,0,0,OR
Eastern Oregon,Admin/Waste,2004,New England,10,0,0,OR
Eastern Oregon,Admin/Waste,2004,Pacific,1,31,39,OR
Eastern Oregon,Admin/Waste,2004,Pacific,5,16,27,OR
Eastern Oregon,Admin/Waste,2004,Pacific,10,11,20,OR
Eastern Oregon,Admin/Waste,2004,South Atlantic,1,0,3,OR
Eastern Oregon,Admin/Waste,2004,South Atlantic,5,0,5,OR
Eastern Oregon,Admin/Waste,2004,South Atlantic,10,0,3,OR
Eastern Oregon,Admin/Waste,2004,West North Central,1,0,0,OR
Eastern Oregon,Admin/Waste,2004,West North Central,5,0,1,OR
Eastern Oregon,Admin/Waste,2004,West North Central,10,0,0,OR
Eastern Oregon,Admin/Waste,2004,West South Central,1,0,1,OR
Eastern Oregon,Admin/Waste,2004,West South Central,5,0,3,OR
Eastern Oregon,Admin/Waste,2004,West South Central,10,0,0,OR
Eastern Oregon,Admin/Waste,2007,East North Central,1,0,3,OR
Eastern Oregon,Admin/Waste,2007,East North Central,5,0,1,OR
Eastern Oregon,Admin/Waste,2007,East North Central,10,0,2,OR
Eastern Oregon,Admin/Waste,2007,East South Central,1,0,1,OR
Eastern Oregon,Admin/Waste,2007,East South Central,5,0,0,OR
Eastern Oregon,Admin/Waste,2007,East South Central,10,0,0,OR
Eastern Oregon,Admin/Waste,2007,Middle Atlantic,1,0,2,OR
Eastern Oregon,Admin/Waste,2007,Middle Atlantic,5,0,0,OR
Eastern Oregon,Admin/Waste,2007,Middle Atlantic,10,0,1,OR
Eastern Oregon,Admin/Waste,2007,Mountain,1,0,6,OR
Eastern Oregon,Admin/Waste,2007,Mountain,5,0,1,OR
Eastern Oregon,Admin/Waste,2007,Mountain,10,0,2,OR
Eastern Oregon,Admin/Waste,2007,New England,1,0,0,OR
Eastern Oregon,Admin/Waste,2007,New England,5,0,0,OR
Eastern Oregon,Admin/Waste,2007,New England,10,0,0,OR
Eastern Oregon,Admin/Waste,2007,Pacific,1,18,23,OR
