institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Eastern Oregon,Admin/Waste,2004,1,31,53,.58490568,OR
Eastern Oregon,Admin/Waste,2004,5,16,48,.33333334,OR
Eastern Oregon,Admin/Waste,2004,10,11,24,.45833334,OR
Eastern Oregon,Admin/Waste,2007,1,18,38,.47368422,OR
Eastern Oregon,Admin/Waste,2007,5,13,32,.40625,OR
Eastern Oregon,Admin/Waste,2007,10,16,28,.5714286,OR
Eastern Oregon,Admin/Waste,2010,1,33,57,.57894737,OR
Eastern Oregon,Admin/Waste,2010,5,19,39,.48717949,OR
Eastern Oregon,Admin/Waste,2010,10,18,50,.36000001,OR
Eastern Oregon,Admin/Waste,2013,1,28,54,.51851851,OR
Eastern Oregon,Admin/Waste,2013,5,30,63,.47619048,OR
Eastern Oregon,Admin/Waste,2013,10,,,,OR
Eastern Oregon,Admin/Waste,2016,1,27,46,.5869565,OR
Eastern Oregon,Admin/Waste,2016,5,28,52,.53846157,OR
Eastern Oregon,Admin/Waste,2016,10,,,,OR
Eastern Oregon,Admin/Waste,2019,1,22,51,.43137255,OR
Eastern Oregon,Admin/Waste,2019,5,,,,OR
Eastern Oregon,Admin/Waste,2019,10,,,,OR
Eastern Oregon,Agriculture,2004,1,9,12,.75,OR
Eastern Oregon,Agriculture,2004,5,10,18,.55555558,OR
Eastern Oregon,Agriculture,2004,10,13,15,.86666667,OR
Eastern Oregon,Agriculture,2007,1,14,19,.7368421,OR
Eastern Oregon,Agriculture,2007,5,16,24,.66666669,OR
Eastern Oregon,Agriculture,2007,10,11,23,.47826087,OR
Eastern Oregon,Agriculture,2010,1,19,32,.59375,OR
Eastern Oregon,Agriculture,2010,5,12,16,.75,OR
Eastern Oregon,Agriculture,2010,10,15,17,.88235295,OR
Eastern Oregon,Agriculture,2013,1,17,24,.70833331,OR
Eastern Oregon,Agriculture,2013,5,12,17,.70588237,OR
Eastern Oregon,Agriculture,2013,10,,,,OR
Eastern Oregon,Agriculture,2016,1,7,11,.63636363,OR
Eastern Oregon,Agriculture,2016,5,16,23,.69565219,OR
Eastern Oregon,Agriculture,2016,10,,,,OR
Eastern Oregon,Agriculture,2019,1,10,17,.58823532,OR
Eastern Oregon,Agriculture,2019,5,,,,OR
Eastern Oregon,Agriculture,2019,10,,,,OR
Eastern Oregon,Arts/Entertainment,2004,1,9,13,.69230771,OR
Eastern Oregon,Arts/Entertainment,2004,5,5,9,.55555558,OR
Eastern Oregon,Arts/Entertainment,2004,10,6,11,.54545456,OR
Eastern Oregon,Arts/Entertainment,2007,1,4,13,.30769232,OR
Eastern Oregon,Arts/Entertainment,2007,5,6,14,.42857143,OR
Eastern Oregon,Arts/Entertainment,2007,10,2,14,.14285715,OR
Eastern Oregon,Arts/Entertainment,2010,1,9,17,.52941179,OR
Eastern Oregon,Arts/Entertainment,2010,5,6,24,.25,OR
Eastern Oregon,Arts/Entertainment,2010,10,7,16,.4375,OR
Eastern Oregon,Arts/Entertainment,2013,1,14,24,.58333331,OR
Eastern Oregon,Arts/Entertainment,2013,5,5,9,.55555558,OR
Eastern Oregon,Arts/Entertainment,2013,10,,,,OR
Eastern Oregon,Arts/Entertainment,2016,1,7,9,.77777779,OR
Eastern Oregon,Arts/Entertainment,2016,5,7,16,.4375,OR
Eastern Oregon,Arts/Entertainment,2016,10,,,,OR
Eastern Oregon,Arts/Entertainment,2019,1,6,19,.31578946,OR
Eastern Oregon,Arts/Entertainment,2019,5,,,,OR
Eastern Oregon,Arts/Entertainment,2019,10,,,,OR
Eastern Oregon,Construction,2004,1,18,30,.60000002,OR
Eastern Oregon,Construction,2004,5,21,44,.47727272,OR
Eastern Oregon,Construction,2004,10,19,27,.7037037,OR
Eastern Oregon,Construction,2007,1,30,38,.78947371,OR
Eastern Oregon,Construction,2007,5,21,35,.60000002,OR
Eastern Oregon,Construction,2007,10,34,55,.61818182,OR
Eastern Oregon,Construction,2010,1,29,47,.61702126,OR
Eastern Oregon,Construction,2010,5,26,50,.51999998,OR
Eastern Oregon,Construction,2010,10,34,55,.61818182,OR
Eastern Oregon,Construction,2013,1,36,57,.63157892,OR
Eastern Oregon,Construction,2013,5,28,55,.5090909,OR
Eastern Oregon,Construction,2013,10,,,,OR
Eastern Oregon,Construction,2016,1,39,46,.84782606,OR
Eastern Oregon,Construction,2016,5,26,44,.59090906,OR
Eastern Oregon,Construction,2016,10,,,,OR
Eastern Oregon,Construction,2019,1,19,50,.38,OR
Eastern Oregon,Construction,2019,5,,,,OR
Eastern Oregon,Construction,2019,10,,,,OR
Eastern Oregon,Education,2004,1,218,329,.66261399,OR
Eastern Oregon,Education,2004,5,243,378,.64285713,OR
Eastern Oregon,Education,2004,10,236,354,.66666669,OR
Eastern Oregon,Education,2007,1,169,261,.64750957,OR
Eastern Oregon,Education,2007,5,225,348,.64655173,OR
Eastern Oregon,Education,2007,10,233,360,.64722222,OR
Eastern Oregon,Education,2010,1,216,319,.67711598,OR
Eastern Oregon,Education,2010,5,260,394,.65989846,OR
Eastern Oregon,Education,2010,10,265,391,.67774934,OR
Eastern Oregon,Education,2013,1,195,284,.6866197,OR
Eastern Oregon,Education,2013,5,248,292,.84931505,OR
Eastern Oregon,Education,2013,10,,,,OR
Eastern Oregon,Education,2016,1,197,284,.69366199,OR
Eastern Oregon,Education,2016,5,181,295,.61355931,OR
Eastern Oregon,Education,2016,10,,,,OR
Eastern Oregon,Education,2019,1,219,301,.72757477,OR
Eastern Oregon,Education,2019,5,,,,OR
Eastern Oregon,Education,2019,10,,,,OR
Eastern Oregon,Finance,2004,1,35,58,.60344827,OR
Eastern Oregon,Finance,2004,5,30,49,.6122449,OR
Eastern Oregon,Finance,2004,10,25,46,.54347825,OR
Eastern Oregon,Finance,2007,1,51,71,.71830988,OR
Eastern Oregon,Finance,2007,5,39,78,.5,OR
Eastern Oregon,Finance,2007,10,27,52,.51923078,OR
Eastern Oregon,Finance,2010,1,49,78,.62820512,OR
Eastern Oregon,Finance,2010,5,55,100,.55000001,OR
Eastern Oregon,Finance,2010,10,38,65,.58461541,OR
Eastern Oregon,Finance,2013,1,42,67,.62686568,OR
Eastern Oregon,Finance,2013,5,33,61,.54098362,OR
Eastern Oregon,Finance,2013,10,,,,OR
Eastern Oregon,Finance,2016,1,48,54,.8888889,OR
Eastern Oregon,Finance,2016,5,39,55,.70909089,OR
Eastern Oregon,Finance,2016,10,,,,OR
Eastern Oregon,Finance,2019,1,24,49,.48979592,OR
Eastern Oregon,Finance,2019,5,,,,OR
Eastern Oregon,Finance,2019,10,,,,OR
Eastern Oregon,Food/Hospitality,2004,1,14,18,.77777779,OR
Eastern Oregon,Food/Hospitality,2004,5,8,17,.47058824,OR
Eastern Oregon,Food/Hospitality,2004,10,7,11,.63636363,OR
Eastern Oregon,Food/Hospitality,2007,1,33,43,.76744187,OR
Eastern Oregon,Food/Hospitality,2007,5,9,25,.36000001,OR
Eastern Oregon,Food/Hospitality,2007,10,8,27,.2962963,OR
Eastern Oregon,Food/Hospitality,2010,1,33,50,.66000003,OR
Eastern Oregon,Food/Hospitality,2010,5,16,39,.41025642,OR
Eastern Oregon,Food/Hospitality,2010,10,10,27,.37037036,OR
Eastern Oregon,Food/Hospitality,2013,1,35,60,.58333331,OR
Eastern Oregon,Food/Hospitality,2013,5,23,30,.76666665,OR
Eastern Oregon,Food/Hospitality,2013,10,,,,OR
Eastern Oregon,Food/Hospitality,2016,1,35,43,.81395346,OR
Eastern Oregon,Food/Hospitality,2016,5,18,34,.52941179,OR
Eastern Oregon,Food/Hospitality,2016,10,,,,OR
Eastern Oregon,Food/Hospitality,2019,1,31,48,.64583331,OR
Eastern Oregon,Food/Hospitality,2019,5,,,,OR
Eastern Oregon,Food/Hospitality,2019,10,,,,OR
Eastern Oregon,Health Care,2004,1,73,111,.65765768,OR
Eastern Oregon,Health Care,2004,5,89,165,.53939396,OR
Eastern Oregon,Health Care,2004,10,87,148,.58783782,OR
Eastern Oregon,Health Care,2007,1,98,176,.55681819,OR
Eastern Oregon,Health Care,2007,5,128,200,.63999999,OR
Eastern Oregon,Health Care,2007,10,113,194,.58247423,OR
Eastern Oregon,Health Care,2010,1,110,193,.5699482,OR
Eastern Oregon,Health Care,2010,5,126,208,.60576922,OR
Eastern Oregon,Health Care,2010,10,130,196,.66326529,OR
Eastern Oregon,Health Care,2013,1,185,292,.63356167,OR
Eastern Oregon,Health Care,2013,5,145,228,.63596493,OR
Eastern Oregon,Health Care,2013,10,,,,OR
Eastern Oregon,Health Care,2016,1,141,197,.71573603,OR
Eastern Oregon,Health Care,2016,5,156,234,.66666669,OR
Eastern Oregon,Health Care,2016,10,,,,OR
Eastern Oregon,Health Care,2019,1,159,258,.61627907,OR
Eastern Oregon,Health Care,2019,5,,,,OR
Eastern Oregon,Health Care,2019,10,,,,OR
Eastern Oregon,Information,2004,1,11,20,.55000001,OR
Eastern Oregon,Information,2004,5,13,18,.72222221,OR
Eastern Oregon,Information,2004,10,13,20,.64999998,OR
Eastern Oregon,Information,2007,1,9,16,.5625,OR
Eastern Oregon,Information,2007,5,9,14,.64285713,OR
Eastern Oregon,Information,2007,10,12,27,.44444445,OR
Eastern Oregon,Information,2010,1,23,37,.62162161,OR
Eastern Oregon,Information,2010,5,15,44,.34090909,OR
Eastern Oregon,Information,2010,10,16,23,.69565219,OR
Eastern Oregon,Information,2013,1,15,22,.68181819,OR
Eastern Oregon,Information,2013,5,17,20,.85000002,OR
Eastern Oregon,Information,2013,10,,,,OR
Eastern Oregon,Information,2016,1,12,14,.85714287,OR
Eastern Oregon,Information,2016,5,9,20,.44999999,OR
Eastern Oregon,Information,2016,10,,,,OR
Eastern Oregon,Information,2019,1,10,19,.52631581,OR
Eastern Oregon,Information,2019,5,,,,OR
Eastern Oregon,Information,2019,10,,,,OR
Eastern Oregon,Management,2004,1,17,21,.80952382,OR
Eastern Oregon,Management,2004,5,14,15,.93333334,OR
Eastern Oregon,Management,2004,10,20,23,.86956519,OR
Eastern Oregon,Management,2007,1,18,28,.64285713,OR
Eastern Oregon,Management,2007,5,23,37,.62162161,OR
Eastern Oregon,Management,2007,10,20,37,.54054052,OR
Eastern Oregon,Management,2010,1,24,33,.72727275,OR
Eastern Oregon,Management,2010,5,29,39,.74358976,OR
Eastern Oregon,Management,2010,10,17,25,.68000001,OR
Eastern Oregon,Management,2013,1,27,44,.61363637,OR
Eastern Oregon,Management,2013,5,19,23,.82608694,OR
Eastern Oregon,Management,2013,10,,,,OR
Eastern Oregon,Management,2016,1,11,18,.6111111,OR
Eastern Oregon,Management,2016,5,17,25,.68000001,OR
Eastern Oregon,Management,2016,10,,,,OR
Eastern Oregon,Management,2019,1,20,32,.625,OR
Eastern Oregon,Management,2019,5,,,,OR
Eastern Oregon,Management,2019,10,,,,OR
Eastern Oregon,Manufacturing,2004,1,40,55,.72727275,OR
Eastern Oregon,Manufacturing,2004,5,23,52,.44230768,OR
Eastern Oregon,Manufacturing,2004,10,28,54,.51851851,OR
Eastern Oregon,Manufacturing,2007,1,38,56,.6785714,OR
Eastern Oregon,Manufacturing,2007,5,42,70,.60000002,OR
Eastern Oregon,Manufacturing,2007,10,37,60,.61666667,OR
Eastern Oregon,Manufacturing,2010,1,42,79,.5316456,OR
Eastern Oregon,Manufacturing,2010,5,51,85,.60000002,OR
Eastern Oregon,Manufacturing,2010,10,38,75,.50666666,OR
Eastern Oregon,Manufacturing,2013,1,66,92,.71739131,OR
Eastern Oregon,Manufacturing,2013,5,54,91,.59340662,OR
Eastern Oregon,Manufacturing,2013,10,,,,OR
Eastern Oregon,Manufacturing,2016,1,39,59,.66101694,OR
Eastern Oregon,Manufacturing,2016,5,27,69,.39130434,OR
Eastern Oregon,Manufacturing,2016,10,,,,OR
Eastern Oregon,Manufacturing,2019,1,29,52,.55769229,OR
Eastern Oregon,Manufacturing,2019,5,,,,OR
Eastern Oregon,Manufacturing,2019,10,,,,OR
Eastern Oregon,Mining,2004,1,0,0,,OR
Eastern Oregon,Mining,2004,5,2,5,.40000001,OR
Eastern Oregon,Mining,2004,10,1,1,1,OR
Eastern Oregon,Mining,2007,1,0,0,,OR
Eastern Oregon,Mining,2007,5,0,0,,OR
Eastern Oregon,Mining,2007,10,1,4,.25,OR
Eastern Oregon,Mining,2010,1,0,2,0,OR
Eastern Oregon,Mining,2010,5,1,4,.25,OR
Eastern Oregon,Mining,2010,10,0,0,,OR
Eastern Oregon,Mining,2013,1,1,1,1,OR
Eastern Oregon,Mining,2013,5,0,0,,OR
Eastern Oregon,Mining,2013,10,,,,OR
Eastern Oregon,Mining,2016,1,0,0,,OR
Eastern Oregon,Mining,2016,5,0,0,,OR
Eastern Oregon,Mining,2016,10,,,,OR
Eastern Oregon,Mining,2019,1,0,0,,OR
Eastern Oregon,Mining,2019,5,,,,OR
Eastern Oregon,Mining,2019,10,,,,OR
Eastern Oregon,Other Services,2004,1,16,26,.61538464,OR
Eastern Oregon,Other Services,2004,5,10,18,.55555558,OR
Eastern Oregon,Other Services,2004,10,9,19,.47368422,OR
Eastern Oregon,Other Services,2007,1,13,19,.68421054,OR
Eastern Oregon,Other Services,2007,5,11,21,.52380955,OR
Eastern Oregon,Other Services,2007,10,16,28,.5714286,OR
Eastern Oregon,Other Services,2010,1,21,29,.7241379,OR
Eastern Oregon,Other Services,2010,5,17,32,.53125,OR
Eastern Oregon,Other Services,2010,10,14,26,.53846157,OR
Eastern Oregon,Other Services,2013,1,18,25,.72000003,OR
