institution_cat,industry_cat,grad_cohort,region_cat,horizon,emp_instate_,emp_n_,state
Clemson,Admin/Waste,2004,East North Central,1,0,6,SC
Clemson,Admin/Waste,2004,East North Central,5,0,17,SC
Clemson,Admin/Waste,2004,East North Central,10,0,4,SC
Clemson,Admin/Waste,2004,East South Central,1,0,8,SC
Clemson,Admin/Waste,2004,East South Central,5,0,10,SC
Clemson,Admin/Waste,2004,East South Central,10,0,17,SC
Clemson,Admin/Waste,2004,Middle Atlantic,1,0,10,SC
Clemson,Admin/Waste,2004,Middle Atlantic,5,0,8,SC
Clemson,Admin/Waste,2004,Middle Atlantic,10,0,11,SC
Clemson,Admin/Waste,2004,Mountain,1,0,4,SC
Clemson,Admin/Waste,2004,Mountain,5,0,5,SC
Clemson,Admin/Waste,2004,Mountain,10,0,4,SC
Clemson,Admin/Waste,2004,New England,1,0,3,SC
Clemson,Admin/Waste,2004,New England,5,0,3,SC
Clemson,Admin/Waste,2004,New England,10,0,8,SC
Clemson,Admin/Waste,2004,Pacific,1,0,12,SC
Clemson,Admin/Waste,2004,Pacific,5,0,11,SC
Clemson,Admin/Waste,2004,Pacific,10,0,10,SC
Clemson,Admin/Waste,2004,South Atlantic,1,153,233,SC
Clemson,Admin/Waste,2004,South Atlantic,5,129,203,SC
Clemson,Admin/Waste,2004,South Atlantic,10,90,162,SC
Clemson,Admin/Waste,2004,West North Central,1,0,0,SC
Clemson,Admin/Waste,2004,West North Central,5,0,4,SC
Clemson,Admin/Waste,2004,West North Central,10,0,0,SC
Clemson,Admin/Waste,2004,West South Central,1,0,4,SC
Clemson,Admin/Waste,2004,West South Central,5,0,8,SC
Clemson,Admin/Waste,2004,West South Central,10,0,10,SC
Clemson,Admin/Waste,2007,East North Central,1,0,7,SC
Clemson,Admin/Waste,2007,East North Central,5,0,22,SC
Clemson,Admin/Waste,2007,East North Central,10,0,9,SC
Clemson,Admin/Waste,2007,East South Central,1,0,2,SC
Clemson,Admin/Waste,2007,East South Central,5,0,4,SC
Clemson,Admin/Waste,2007,East South Central,10,0,9,SC
Clemson,Admin/Waste,2007,Middle Atlantic,1,0,16,SC
Clemson,Admin/Waste,2007,Middle Atlantic,5,0,20,SC
Clemson,Admin/Waste,2007,Middle Atlantic,10,0,17,SC
Clemson,Admin/Waste,2007,Mountain,1,0,4,SC
Clemson,Admin/Waste,2007,Mountain,5,0,14,SC
Clemson,Admin/Waste,2007,Mountain,10,0,6,SC
Clemson,Admin/Waste,2007,New England,1,0,2,SC
Clemson,Admin/Waste,2007,New England,5,0,4,SC
Clemson,Admin/Waste,2007,New England,10,0,4,SC
Clemson,Admin/Waste,2007,Pacific,1,0,8,SC
Clemson,Admin/Waste,2007,Pacific,5,0,10,SC
Clemson,Admin/Waste,2007,Pacific,10,0,18,SC
Clemson,Admin/Waste,2007,South Atlantic,1,181,257,SC
Clemson,Admin/Waste,2007,South Atlantic,5,148,241,SC
Clemson,Admin/Waste,2007,South Atlantic,10,120,206,SC
Clemson,Admin/Waste,2007,West North Central,1,0,1,SC
Clemson,Admin/Waste,2007,West North Central,5,0,4,SC
Clemson,Admin/Waste,2007,West North Central,10,0,2,SC
Clemson,Admin/Waste,2007,West South Central,1,0,13,SC
Clemson,Admin/Waste,2007,West South Central,5,0,12,SC
Clemson,Admin/Waste,2007,West South Central,10,0,13,SC
Clemson,Admin/Waste,2010,East North Central,1,0,8,SC
Clemson,Admin/Waste,2010,East North Central,5,0,11,SC
Clemson,Admin/Waste,2010,East North Central,10,0,18,SC
Clemson,Admin/Waste,2010,East South Central,1,0,5,SC
Clemson,Admin/Waste,2010,East South Central,5,0,8,SC
Clemson,Admin/Waste,2010,East South Central,10,0,10,SC
Clemson,Admin/Waste,2010,Middle Atlantic,1,0,18,SC
Clemson,Admin/Waste,2010,Middle Atlantic,5,0,15,SC
Clemson,Admin/Waste,2010,Middle Atlantic,10,0,13,SC
Clemson,Admin/Waste,2010,Mountain,1,0,4,SC
Clemson,Admin/Waste,2010,Mountain,5,0,10,SC
Clemson,Admin/Waste,2010,Mountain,10,0,7,SC
Clemson,Admin/Waste,2010,New England,1,0,3,SC
Clemson,Admin/Waste,2010,New England,5,0,1,SC
Clemson,Admin/Waste,2010,New England,10,0,2,SC
Clemson,Admin/Waste,2010,Pacific,1,0,4,SC
Clemson,Admin/Waste,2010,Pacific,5,0,22,SC
Clemson,Admin/Waste,2010,Pacific,10,0,14,SC
Clemson,Admin/Waste,2010,South Atlantic,1,246,356,SC
Clemson,Admin/Waste,2010,South Atlantic,5,172,270,SC
Clemson,Admin/Waste,2010,South Atlantic,10,139,257,SC
Clemson,Admin/Waste,2010,West North Central,1,0,0,SC
Clemson,Admin/Waste,2010,West North Central,5,0,5,SC
Clemson,Admin/Waste,2010,West North Central,10,0,1,SC
Clemson,Admin/Waste,2010,West South Central,1,0,8,SC
Clemson,Admin/Waste,2010,West South Central,5,0,17,SC
Clemson,Admin/Waste,2010,West South Central,10,0,19,SC
Clemson,Admin/Waste,2013,East North Central,1,0,15,SC
Clemson,Admin/Waste,2013,East North Central,5,0,13,SC
Clemson,Admin/Waste,2013,East North Central,10,,,SC
Clemson,Admin/Waste,2013,East South Central,1,0,11,SC
Clemson,Admin/Waste,2013,East South Central,5,0,11,SC
Clemson,Admin/Waste,2013,East South Central,10,,,SC
Clemson,Admin/Waste,2013,Middle Atlantic,1,0,19,SC
Clemson,Admin/Waste,2013,Middle Atlantic,5,0,24,SC
Clemson,Admin/Waste,2013,Middle Atlantic,10,,,SC
Clemson,Admin/Waste,2013,Mountain,1,0,2,SC
Clemson,Admin/Waste,2013,Mountain,5,0,5,SC
Clemson,Admin/Waste,2013,Mountain,10,,,SC
Clemson,Admin/Waste,2013,New England,1,0,2,SC
Clemson,Admin/Waste,2013,New England,5,0,7,SC
Clemson,Admin/Waste,2013,New England,10,,,SC
Clemson,Admin/Waste,2013,Pacific,1,0,23,SC
Clemson,Admin/Waste,2013,Pacific,5,0,14,SC
Clemson,Admin/Waste,2013,Pacific,10,,,SC
Clemson,Admin/Waste,2013,South Atlantic,1,264,409,SC
Clemson,Admin/Waste,2013,South Atlantic,5,173,295,SC
Clemson,Admin/Waste,2013,South Atlantic,10,,,SC
Clemson,Admin/Waste,2013,West North Central,1,0,0,SC
Clemson,Admin/Waste,2013,West North Central,5,0,2,SC
Clemson,Admin/Waste,2013,West North Central,10,,,SC
Clemson,Admin/Waste,2013,West South Central,1,0,4,SC
Clemson,Admin/Waste,2013,West South Central,5,0,18,SC
Clemson,Admin/Waste,2013,West South Central,10,,,SC
Clemson,Admin/Waste,2016,East North Central,1,0,22,SC
Clemson,Admin/Waste,2016,East North Central,5,0,23,SC
Clemson,Admin/Waste,2016,East North Central,10,,,SC
Clemson,Admin/Waste,2016,East South Central,1,0,8,SC
Clemson,Admin/Waste,2016,East South Central,5,0,7,SC
Clemson,Admin/Waste,2016,East South Central,10,,,SC
Clemson,Admin/Waste,2016,Middle Atlantic,1,0,29,SC
Clemson,Admin/Waste,2016,Middle Atlantic,5,0,33,SC
Clemson,Admin/Waste,2016,Middle Atlantic,10,,,SC
Clemson,Admin/Waste,2016,Mountain,1,0,4,SC
Clemson,Admin/Waste,2016,Mountain,5,0,9,SC
Clemson,Admin/Waste,2016,Mountain,10,,,SC
Clemson,Admin/Waste,2016,New England,1,0,5,SC
Clemson,Admin/Waste,2016,New England,5,0,6,SC
Clemson,Admin/Waste,2016,New England,10,,,SC
Clemson,Admin/Waste,2016,Pacific,1,0,13,SC
Clemson,Admin/Waste,2016,Pacific,5,0,16,SC
Clemson,Admin/Waste,2016,Pacific,10,,,SC
Clemson,Admin/Waste,2016,South Atlantic,1,277,433,SC
Clemson,Admin/Waste,2016,South Atlantic,5,179,335,SC
Clemson,Admin/Waste,2016,South Atlantic,10,,,SC
Clemson,Admin/Waste,2016,West North Central,1,0,1,SC
Clemson,Admin/Waste,2016,West North Central,5,0,1,SC
