institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Clemson,Admin/Waste,2004,1,153,280,.54642856,SC
Clemson,Admin/Waste,2004,5,129,269,.47955391,SC
Clemson,Admin/Waste,2004,10,90,226,.39823008,SC
Clemson,Admin/Waste,2007,1,181,310,.58387095,SC
Clemson,Admin/Waste,2007,5,148,331,.44712991,SC
Clemson,Admin/Waste,2007,10,120,284,.42253521,SC
Clemson,Admin/Waste,2010,1,246,406,.60591131,SC
Clemson,Admin/Waste,2010,5,172,359,.47910863,SC
Clemson,Admin/Waste,2010,10,139,341,.40762463,SC
Clemson,Admin/Waste,2013,1,264,485,.54432988,SC
Clemson,Admin/Waste,2013,5,173,389,.44473007,SC
Clemson,Admin/Waste,2013,10,,,,SC
Clemson,Admin/Waste,2016,1,277,530,.52264148,SC
Clemson,Admin/Waste,2016,5,179,445,.40224719,SC
Clemson,Admin/Waste,2016,10,,,,SC
Clemson,Admin/Waste,2019,1,310,629,.49284577,SC
Clemson,Admin/Waste,2019,5,,,,SC
Clemson,Admin/Waste,2019,10,,,,SC
Clemson,Agriculture,2004,1,31,36,.8611111,SC
Clemson,Agriculture,2004,5,21,27,.77777779,SC
Clemson,Agriculture,2004,10,25,30,.83333331,SC
Clemson,Agriculture,2007,1,23,26,.88461536,SC
Clemson,Agriculture,2007,5,22,35,.62857145,SC
Clemson,Agriculture,2007,10,22,31,.7096774,SC
Clemson,Agriculture,2010,1,20,22,.90909094,SC
Clemson,Agriculture,2010,5,26,35,.74285716,SC
Clemson,Agriculture,2010,10,22,30,.73333335,SC
Clemson,Agriculture,2013,1,41,52,.78846157,SC
Clemson,Agriculture,2013,5,38,50,.75999999,SC
Clemson,Agriculture,2013,10,,,,SC
Clemson,Agriculture,2016,1,43,53,.81132078,SC
Clemson,Agriculture,2016,5,44,56,.78571427,SC
Clemson,Agriculture,2016,10,,,,SC
Clemson,Agriculture,2019,1,40,46,.86956519,SC
Clemson,Agriculture,2019,5,,,,SC
Clemson,Agriculture,2019,10,,,,SC
Clemson,Arts/Entertainment,2004,1,51,96,.53125,SC
Clemson,Arts/Entertainment,2004,5,34,86,.39534885,SC
Clemson,Arts/Entertainment,2004,10,20,75,.26666668,SC
Clemson,Arts/Entertainment,2007,1,60,112,.53571427,SC
Clemson,Arts/Entertainment,2007,5,60,128,.46875,SC
Clemson,Arts/Entertainment,2007,10,37,93,.39784947,SC
Clemson,Arts/Entertainment,2010,1,53,109,.48623854,SC
Clemson,Arts/Entertainment,2010,5,29,94,.30851063,SC
Clemson,Arts/Entertainment,2010,10,29,76,.38157895,SC
Clemson,Arts/Entertainment,2013,1,54,113,.4778761,SC
Clemson,Arts/Entertainment,2013,5,52,122,.42622951,SC
Clemson,Arts/Entertainment,2013,10,,,,SC
Clemson,Arts/Entertainment,2016,1,62,152,.40789473,SC
Clemson,Arts/Entertainment,2016,5,33,122,.27049181,SC
Clemson,Arts/Entertainment,2016,10,,,,SC
Clemson,Arts/Entertainment,2019,1,64,133,.48120302,SC
Clemson,Arts/Entertainment,2019,5,,,,SC
Clemson,Arts/Entertainment,2019,10,,,,SC
Clemson,Construction,2004,1,217,370,.58648646,SC
Clemson,Construction,2004,5,159,301,.52823919,SC
Clemson,Construction,2004,10,158,290,.54482758,SC
Clemson,Construction,2007,1,133,312,.42628205,SC
Clemson,Construction,2007,5,126,276,.45652175,SC
Clemson,Construction,2007,10,145,319,.45454547,SC
Clemson,Construction,2010,1,139,277,.50180507,SC
Clemson,Construction,2010,5,159,310,.51290321,SC
Clemson,Construction,2010,10,187,361,.51800555,SC
Clemson,Construction,2013,1,193,346,.55780345,SC
Clemson,Construction,2013,5,221,405,.54567903,SC
Clemson,Construction,2013,10,,,,SC
Clemson,Construction,2016,1,219,425,.51529413,SC
Clemson,Construction,2016,5,265,513,.5165692,SC
Clemson,Construction,2016,10,,,,SC
Clemson,Construction,2019,1,279,554,.50361013,SC
Clemson,Construction,2019,5,,,,SC
Clemson,Construction,2019,10,,,,SC
Clemson,Education,2004,1,599,827,.72430474,SC
