institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Angelo State,Agriculture,2004,1,16,19,.84210527,TX
Angelo State,Agriculture,2004,5,2,2,1,TX
Angelo State,Agriculture,2004,10,15,17,.88235295,TX
Angelo State,Agriculture,2007,1,6,7,.85714287,TX
Angelo State,Agriculture,2007,5,3,4,.75,TX
Angelo State,Agriculture,2007,10,7,8,.875,TX
Angelo State,Agriculture,2010,1,9,9,1,TX
Angelo State,Agriculture,2010,5,12,12,1,TX
Angelo State,Agriculture,2010,10,1,2,.5,TX
Angelo State,Agriculture,2013,1,5,8,.625,TX
Angelo State,Agriculture,2013,5,14,21,.66666669,TX
Angelo State,Agriculture,2013,10,,,,TX
Angelo State,Agriculture,2016,1,15,17,.88235295,TX
Angelo State,Agriculture,2016,5,14,17,.82352942,TX
Angelo State,Agriculture,2016,10,,,,TX
Angelo State,Agriculture,2019,1,9,9,1,TX
Angelo State,Agriculture,2019,5,,,,TX
Angelo State,Agriculture,2019,10,,,,TX
Angelo State,Mining,2004,1,24,24,1,TX
Angelo State,Mining,2004,5,33,33,1,TX
Angelo State,Mining,2004,10,80,81,.98765433,TX
Angelo State,Mining,2007,1,26,27,.96296299,TX
Angelo State,Mining,2007,5,64,64,1,TX
Angelo State,Mining,2007,10,50,50,1,TX
Angelo State,Mining,2010,1,34,34,1,TX
Angelo State,Mining,2010,5,54,54,1,TX
Angelo State,Mining,2010,10,44,44,1,TX
Angelo State,Mining,2013,1,24,24,1,TX
Angelo State,Mining,2013,5,33,33,1,TX
Angelo State,Mining,2013,10,,,,TX
Angelo State,Mining,2016,1,29,30,.96666664,TX
Angelo State,Mining,2016,5,35,36,.97222221,TX
Angelo State,Mining,2016,10,,,,TX
Angelo State,Mining,2019,1,22,22,1,TX
Angelo State,Mining,2019,5,,,,TX
Angelo State,Mining,2019,10,,,,TX
Angelo State,Utilities,2004,1,6,6,1,TX
Angelo State,Utilities,2004,5,18,18,1,TX
Angelo State,Utilities,2004,10,11,11,1,TX
Angelo State,Utilities,2007,1,2,2,1,TX
Angelo State,Utilities,2007,5,8,8,1,TX
Angelo State,Utilities,2007,10,9,10,.89999998,TX
Angelo State,Utilities,2010,1,4,4,1,TX
Angelo State,Utilities,2010,5,11,11,1,TX
Angelo State,Utilities,2010,10,9,9,1,TX
Angelo State,Utilities,2013,1,1,1,1,TX
Angelo State,Utilities,2013,5,5,5,1,TX
