institution_cat,industry_cat,grad_cohort,region_cat,horizon,emp_instate_,emp_n_,state
Southern Utah,Admin/Waste,2010,East North Central,1,0,4,UT
Southern Utah,Admin/Waste,2010,East North Central,5,0,2,UT
Southern Utah,Admin/Waste,2010,East North Central,10,0,4,UT
Southern Utah,Admin/Waste,2010,East South Central,1,0,0,UT
Southern Utah,Admin/Waste,2010,East South Central,5,0,0,UT
Southern Utah,Admin/Waste,2010,East South Central,10,0,0,UT
Southern Utah,Admin/Waste,2010,Middle Atlantic,1,0,0,UT
Southern Utah,Admin/Waste,2010,Middle Atlantic,5,0,5,UT
Southern Utah,Admin/Waste,2010,Middle Atlantic,10,0,2,UT
Southern Utah,Admin/Waste,2010,Mountain,1,29,34,UT
Southern Utah,Admin/Waste,2010,Mountain,5,32,33,UT
Southern Utah,Admin/Waste,2010,Mountain,10,20,25,UT
Southern Utah,Admin/Waste,2010,New England,1,0,0,UT
Southern Utah,Admin/Waste,2010,New England,5,0,0,UT
Southern Utah,Admin/Waste,2010,New England,10,0,0,UT
Southern Utah,Admin/Waste,2010,Pacific,1,0,7,UT
Southern Utah,Admin/Waste,2010,Pacific,5,0,3,UT
Southern Utah,Admin/Waste,2010,Pacific,10,0,4,UT
Southern Utah,Admin/Waste,2010,South Atlantic,1,0,8,UT
Southern Utah,Admin/Waste,2010,South Atlantic,5,0,1,UT
Southern Utah,Admin/Waste,2010,South Atlantic,10,0,0,UT
Southern Utah,Admin/Waste,2010,West North Central,1,0,0,UT
Southern Utah,Admin/Waste,2010,West North Central,5,0,0,UT
Southern Utah,Admin/Waste,2010,West North Central,10,0,2,UT
Southern Utah,Admin/Waste,2010,West South Central,1,0,1,UT
Southern Utah,Admin/Waste,2010,West South Central,5,0,0,UT
Southern Utah,Admin/Waste,2010,West South Central,10,0,5,UT
Southern Utah,Admin/Waste,2013,East North Central,1,0,0,UT
Southern Utah,Admin/Waste,2013,East North Central,5,0,1,UT
Southern Utah,Admin/Waste,2013,East North Central,10,,,UT
