institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Southern Utah,Admin/Waste,2010,1,29,54,.53703701,UT
Southern Utah,Admin/Waste,2010,5,32,44,.72727275,UT
Southern Utah,Admin/Waste,2010,10,20,42,.47619048,UT
Southern Utah,Admin/Waste,2013,1,23,29,.79310346,UT
Southern Utah,Admin/Waste,2013,5,34,61,.55737704,UT
Southern Utah,Admin/Waste,2013,10,,,,UT
Southern Utah,Admin/Waste,2016,1,45,64,.703125,UT
Southern Utah,Admin/Waste,2016,5,34,64,.53125,UT
Southern Utah,Admin/Waste,2016,10,,,,UT
Southern Utah,Admin/Waste,2019,1,62,96,.64583331,UT
Southern Utah,Admin/Waste,2019,5,,,,UT
Southern Utah,Admin/Waste,2019,10,,,,UT
Southern Utah,Agriculture,2010,1,5,7,.71428573,UT
Southern Utah,Agriculture,2010,5,0,7,0,UT
Southern Utah,Agriculture,2010,10,2,4,.5,UT
Southern Utah,Agriculture,2013,1,0,1,0,UT
Southern Utah,Agriculture,2013,5,10,19,.52631581,UT
Southern Utah,Agriculture,2013,10,,,,UT
Southern Utah,Agriculture,2016,1,5,8,.625,UT
Southern Utah,Agriculture,2016,5,7,13,.53846157,UT
Southern Utah,Agriculture,2016,10,,,,UT
Southern Utah,Agriculture,2019,1,8,13,.61538464,UT
Southern Utah,Agriculture,2019,5,,,,UT
Southern Utah,Agriculture,2019,10,,,,UT
Southern Utah,Arts/Entertainment,2010,1,17,23,.73913044,UT
Southern Utah,Arts/Entertainment,2010,5,13,14,.9285714,UT
Southern Utah,Arts/Entertainment,2010,10,10,12,.83333331,UT
Southern Utah,Arts/Entertainment,2013,1,12,15,.80000001,UT
Southern Utah,Arts/Entertainment,2013,5,18,29,.62068963,UT
Southern Utah,Arts/Entertainment,2013,10,,,,UT
Southern Utah,Arts/Entertainment,2016,1,13,20,.64999998,UT
Southern Utah,Arts/Entertainment,2016,5,16,31,.51612902,UT
Southern Utah,Arts/Entertainment,2016,10,,,,UT
Southern Utah,Arts/Entertainment,2019,1,23,32,.71875,UT
Southern Utah,Arts/Entertainment,2019,5,,,,UT
Southern Utah,Arts/Entertainment,2019,10,,,,UT
Southern Utah,Construction,2010,1,30,46,.65217394,UT
Southern Utah,Construction,2010,5,30,51,.58823532,UT
Southern Utah,Construction,2010,10,38,53,.71698111,UT
Southern Utah,Construction,2013,1,32,43,.74418604,UT
Southern Utah,Construction,2013,5,46,80,.57499999,UT
Southern Utah,Construction,2013,10,,,,UT
Southern Utah,Construction,2016,1,28,35,.80000001,UT
Southern Utah,Construction,2016,5,46,92,.5,UT
Southern Utah,Construction,2016,10,,,,UT
Southern Utah,Construction,2019,1,59,96,.61458331,UT
Southern Utah,Construction,2019,5,,,,UT
Southern Utah,Construction,2019,10,,,,UT
Southern Utah,Education,2010,1,267,345,.77391303,UT
Southern Utah,Education,2010,5,276,369,.74796748,UT
Southern Utah,Education,2010,10,244,345,.70724636,UT
Southern Utah,Education,2013,1,306,382,.80104715,UT
Southern Utah,Education,2013,5,356,495,.71919191,UT
Southern Utah,Education,2013,10,,,,UT
Southern Utah,Education,2016,1,309,397,.77833754,UT
Southern Utah,Education,2016,5,325,482,.67427385,UT
Southern Utah,Education,2016,10,,,,UT
Southern Utah,Education,2019,1,362,476,.76050419,UT
Southern Utah,Education,2019,5,,,,UT
Southern Utah,Education,2019,10,,,,UT
Southern Utah,Finance,2010,1,51,78,.65384614,UT
Southern Utah,Finance,2010,5,69,95,.7263158,UT
Southern Utah,Finance,2010,10,60,92,.65217394,UT
Southern Utah,Finance,2013,1,63,76,.82894737,UT
Southern Utah,Finance,2013,5,76,105,.72380954,UT
Southern Utah,Finance,2013,10,,,,UT
Southern Utah,Finance,2016,1,62,101,.61386138,UT
Southern Utah,Finance,2016,5,87,123,.70731705,UT
Southern Utah,Finance,2016,10,,,,UT
Southern Utah,Finance,2019,1,97,125,.77600002,UT
Southern Utah,Finance,2019,5,,,,UT
Southern Utah,Finance,2019,10,,,,UT
Southern Utah,Food/Hospitality,2010,1,52,92,.56521738,UT
Southern Utah,Food/Hospitality,2010,5,23,73,.31506848,UT
Southern Utah,Food/Hospitality,2010,10,17,44,.38636363,UT
Southern Utah,Food/Hospitality,2013,1,55,86,.63953489,UT
Southern Utah,Food/Hospitality,2013,5,23,71,.32394367,UT
Southern Utah,Food/Hospitality,2013,10,,,,UT
Southern Utah,Food/Hospitality,2016,1,49,99,.49494949,UT
Southern Utah,Food/Hospitality,2016,5,31,62,.5,UT
Southern Utah,Food/Hospitality,2016,10,,,,UT
Southern Utah,Food/Hospitality,2019,1,53,97,.54639173,UT
Southern Utah,Food/Hospitality,2019,5,,,,UT
Southern Utah,Food/Hospitality,2019,10,,,,UT
Southern Utah,Health Care,2010,1,235,317,.7413249,UT
